run_date,events,training_rows,ranked_repos,enriched_repos,candidate_repos,report
2026-05-17,883543,361428,131832,50,50,runs/reporadar/2026-05-17/discovery_report.md
2026-05-24,910982,360559,134614,50,50,runs/reporadar/2026-05-24/discovery_report.md
2026-05-31,918681,353773,134209,50,50,runs/reporadar/2026-05-31/discovery_report.md
2026-06-07,944230,347754,130764,50,50,runs/reporadar/2026-06-07/discovery_report.md
2026-06-14,946189,348718,128128,50,50,runs/reporadar/2026-06-14/discovery_report.md
2026-06-21,949608,327054,123893,50,50,runs/reporadar/2026-06-21/discovery_report.md
2026-06-28,967183,338437,129188,50,50,runs/reporadar/2026-06-28/discovery_report.md
2026-07-05,979218,364872,131727,50,50,runs/reporadar/2026-07-05/discovery_report.md
2026-07-12,1011245,264500,85040,50,50,runs/reporadar/2026-07-12/discovery_report.md
2026-07-19,1004142,314848,79342,50,50,runs/reporadar/2026-07-19/discovery_report.md
